,company,type,rating,age,highly_ratedFOR,critically_ratedFOR
258,Titan Company,Retail ,4.4,40 years old,"Company Culture, Job Security, Work Life Balance",
259,Square Yards,Internet ,3.9,11 years old,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
260,TVS Credit,NBFC ,4.5,16 years old,"Skill Development / Learning, Work Life Balance, Job Security",
261,Wipro Enterprises Ltd,IT Services & Consulting ,3.9,79 years old,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
262,Tata AIG,Insurance ,4.2,24 years old,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
263,EY Global Delivery Services ( EY GDS),Accounting & Auditing ,3.7,22 years old,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Satisfaction, Work Life Balance"
264,Aditya Birla Sun Life Insurance,Insurance ,4.2,24 years old,"Job Security, Company Culture, Work Life Balance",
265,Bajaj Electricals,Consumer Electronics & Appliances ,4.1,86 years old,"Salary & Benefits, Company Culture, Work Life Balance",
266,IDFC FIRST Bharat,NBFC ,4.6,8 years old,"Salary & Benefits, Job Security, Company Culture",
267,Alstom Transportation,Engineering & Construction ,3.9,96 years old,Job Security,Promotions / Appraisal
268,Statestreet HCL Services,BPO ,3.3,12 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
269,IGT Solutions,BPO ,3.4,26 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
270,Afcons Infrastructure,Engineering & Construction ,4.4,65 years old,"Job Security, Skill Development / Learning, Company Culture",
271,Apollo Tyres,Auto Components ,4.1,52 years old,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
272,Mankind Pharma,Pharma ,4.1,29 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
273,Simplex Infrastructures,Engineering & Construction ,3.3,100 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
274,Domino's Pizza,Hospitality ,4,64 years old,"Skill Development / Learning, Salary & Benefits",
275,Suzlon Group,Power ,4.2,29 years old,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
276,Capita,IT Services & Consulting ,3.8,19 years old,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
277,Zensar Technologies,IT Services & Consulting ,3.8,23 years old,Work Life Balance,Promotions / Appraisal
278,Flex,Electronics Manufacturing ,4.2,55 years old,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
279,State Street Corporation,Financial Services ,3.8,232 years old,Job Security,Promotions / Appraisal
280,Max Healthcare,Healthcare ,4.2,23 years old,"Skill Development / Learning, Job Security, Company Culture",
281,KocharTech,IT Services & Consulting ,4.1,29 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
282,Huawei Technologies,Telecom ,4,22 years old,"Salary & Benefits, Skill Development / Learning",Job Security
283,Bajaj Allianz General Insurance,Insurance ,4,,"Skill Development / Learning, Company Culture, Salary & Benefits",
284,McDonald's,Hospitality ,4.2,69 years old,"Skill Development / Learning, Company Culture, Job Security",
285,Tata Technologies,Engineering & Construction ,3.8,35 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
286,Croma,Retail ,4.1,18 years old,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
287,I Process Services,Recruitment ,3.9,19 years old,"Promotions / Appraisal, Salary & Benefits",
288,Taj Hotels Resorts and Palaces,Hospitality ,4.2,121 years old,"Job Security, Company Culture, Skill Development / Learning",
289,Grasim Industries,Building Material ,4.1,77 years old,"Job Security, Skill Development / Learning, Company Culture",
290,HDFC Sales,Financial Services ,4.1,20 years old,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
291,ElasticRun,Logistics ,3.4,8 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
292,Nestle,Food Processing ,4.2,65 years old,"Salary & Benefits, Job Security, Skill Development / Learning",
293,Landmark Group,Retail ,4.1,51 years old,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
294,UNO Minda,Auto Components ,4.1,66 years old,"Job Security, Skill Development / Learning, Company Culture",
295,Walmart,Retail ,4,15 years old,"Job Security, Company Culture, Salary & Benefits",Promotions / Appraisal
296,AGS Health,BPO ,4,13 years old,"Job Security, Company Culture, Skill Development / Learning",
297,Lava International,Consumer Electronics & Appliances ,4.1,15 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
298,Nokia,Telecom ,4.2,159 years old,"Work Life Balance, Company Culture, Job Security",
299,Blue Dart Express,Logistics ,4.1,41 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
300,Patanjali Ayurved,FMCG ,4.1,18 years old,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
301,Tractors and Farm Equipment,Industrial Machinery ,4.1,64 years old,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal
302,G4S,Law Enforcement & Security ,4.1,28 years old,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
303,Fortis Healthcare,Healthcare ,4.1,28 years old,"Skill Development / Learning, Job Security, Company Culture",
304,Capgemini Engineering,10k-50k Employees ,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
305,State Street Syntel,Financial Services ,3.7,20 years old,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
306,Societe Generale,Financial Services ,3.9,24 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
307,BlackBuck,Internet ,3.9,9 years old,Salary & Benefits,"Job Security, Promotions / Appraisal"
308,Britannia,FMCG ,4.1,132 years old,"Job Security, Skill Development / Learning, Company Culture",
309,TVS Supply Chain Solutions,Logistics ,4,128 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
310,Fiserv,FinTech ,3.7,40 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
311,Micro Labs,Pharma ,3.7,51 years old,Job Security,"Salary & Benefits, Promotions / Appraisal, Company Culture"
312,KFintech,FinTech ,3.6,7 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
313,Voltas,Consumer Electronics & Appliances ,4.1,70 years old,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
314,Sterlite Technologies,Hardware & Networking ,3.8,36 years old,Promotions / Appraisal,
315,Shree Cement,Building Material ,4.1,45 years old,Work Life Balance,Promotions / Appraisal
316,Exide Industries,Auto Components ,3.6,77 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
317,Kyndryl,IT Services & Consulting ,4.1,3 years old,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
318,Ola Cabs,Internet ,3.5,14 years old,"Job Security, Promotions / Appraisal, Company Culture",
319,Yazaki,Auto Components ,3.9,83 years old,Promotions / Appraisal,
320,Radisson Hotels,Hospitality ,4.1,115 years old,"Skill Development / Learning, Work Life Balance, Job Security",
321,Himalaya Wellness,Pharma ,4.2,94 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
322,Dalmia Bharat Cement,Building Material ,4.1,89 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
323,Quest Global,IT Services & Consulting ,3.7,27 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
324,Lifestyle,Retail ,4.4,25 years old,"Company Culture, Job Security, Skill Development / Learning",
325,IKS Health,Healthcare ,3.6,17 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
326,Eureka Forbes,Consumer Electronics & Appliances ,3.9,42 years old,Skill Development / Learning,"Promotions / Appraisal, Job Security"
327,Ajanta Pharma,Pharma ,4.1,51 years old,"Job Security, Work Life Balance, Company Culture",
328,ACT Fibernet,Telecom ,4.1,16 years old,"Job Security, Company Culture, Salary & Benefits",
329,Blue Star,Consumer Electronics & Appliances ,4.1,81 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
330,XpressBees,Logistics ,3.8,9 years old,Promotions / Appraisal,
331,Aditya Birla Group,Building Material ,4.1,167 years old,"Job Security, Skill Development / Learning, Company Culture",
332,Motilal Oswal Financial Services,Financial Services ,3.8,37 years old,Skill Development / Learning,Promotions / Appraisal
333,Extramarks Education,EdTech ,3.5,17 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
334,Sonalika Tractors,Automobile ,3.8,55 years old,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits"
335,DS Group,FMCG ,4.1,95 years old,"Work Life Balance, Job Security",Promotions / Appraisal
336,Nokia Networks,Hardware & Networking ,4.3,,"Company Culture, Work Life Balance, Work Satisfaction",
337,Life Insurance Corporation of India,Insurance ,4.4,68 years old,"Work Life Balance, Company Culture, Salary & Benefits",
338,Mahindra Rural Housing Finance,NBFC ,4.1,17 years old,"Company Culture, Work Life Balance, Job Security",
339,Cholamandalam MS General Insurance,Insurance ,3.9,23 years old,Promotions / Appraisal,
340,Zomato,Internet ,3.7,16 years old,"Promotions / Appraisal, Job Security",
341,Mahindra Logistics,Logistics ,4.1,24 years old,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
342,Delhi Public School,Education & Training ,3.9,26 years old,Skill Development / Learning,
343,Indus Towers,Telecom ,4,17 years old,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal
344,PVR Cinemas,Media & Entertainment ,4.1,27 years old,"Skill Development / Learning, Job Security, Company Culture",
345,Future Retail,Retail ,4.3,37 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
346,JMC Projects,Engineering & Construction ,4.2,42 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
347,Rivigo,Internet ,3.9,10 years old,Skill Development / Learning,"Promotions / Appraisal, Job Security, Salary & Benefits"
348,Emcure Pharmaceuticals,Pharma ,3.8,43 years old,"Job Security, Promotions / Appraisal",
349,SRF,Chemicals ,4.3,54 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
350,Myntra,Internet ,4,17 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
351,V-Mart,Retail ,4.3,22 years old,"Skill Development / Learning, Job Security, Company Culture",
352,Ninjacart,Internet ,4.1,9 years old,"Salary & Benefits, Skill Development / Learning, Company Culture",
353,Parle Agro,Beverage ,4.2,40 years old,"Job Security, Work Life Balance, Skill Development / Learning",
354,Kalpataru Power Transmission,Engineering & Construction ,4.2,43 years old,"Job Security, Skill Development / Learning, Company Culture",
355,Datamatics Global Services,IT Services & Consulting ,3.6,49 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
356,Movate,IT Services & Consulting ,3.5,28 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
357,Kansai Nerolac Paints,Chemicals ,3.9,104 years old,Job Security,Promotions / Appraisal
358,Renault-Nissan,Automobile ,4.1,17 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
359,Pfizer,Pharma ,4.1,20 years old,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
360,Tata Teleservices,Telecom ,4.1,28 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
361,Fujitsu,IT Services & Consulting ,3.9,89 years old,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
362,Mahindra Holidays & Resorts,Hospitality ,3.6,28 years old,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",
363,VVDN Technologies,IT Services & Consulting ,3.7,17 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
364,Indian Railways,Railways ,4.2,171 years old,"Job Security, Skill Development / Learning, Work Satisfaction",
365,MSN Laboratories,Pharma ,3.8,21 years old,Job Security,Company Culture
366,3i Infotech,IT Services & Consulting ,3.6,31 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
367,BHEL,Electrical Equipment ,4.1,60 years old,"Job Security, Work Life Balance, Company Culture",
368,KPMG Global Services,,3.7,,Job Security,"Promotions / Appraisal, Work Satisfaction"
369,Raymond,Fashion & Textile ,4.1,99 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
370,Reliance Trends,Retail ,4.3,18 years old,"Skill Development / Learning, Job Security, Company Culture",
371,ICICI Securities,Financial Services ,3.8,29 years old,Job Security,"Promotions / Appraisal, Work Satisfaction"
372,Cybage,IT Services & Consulting ,4,29 years old,"Job Security, Company Culture, Work Life Balance",
373,Blinkit,Internet ,3.9,11 years old,Skill Development / Learning,"Job Security, Promotions / Appraisal"
374,Ambuja Cements,Building Material ,4,41 years old,Promotions / Appraisal,
375,JCB,Industrial Machinery ,4,79 years old,"Work Life Balance, Company Culture",Promotions / Appraisal
376,Cadila Pharmaceuticals,Pharma ,3.5,73 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
377,suzuki motor gujarat,Fortune India 500 ,4.3,,"Job Security, Company Culture, Salary & Benefits",
378,Info Edge,Internet ,4.1,29 years old,"Job Security, Company Culture, Work Life Balance",
379,Shell,Oil & Gas ,4.3,117 years old,"Work Life Balance, Company Culture, Salary & Benefits",
380,GlaxoSmithKline Pharmaceuticals,Pharma ,4.1,194 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
381,Foundever,BPO ,3.8,39 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
382,Poonawalla Fincorp,NBFC ,3.9,36 years old,"Promotions / Appraisal, Job Security",
383,ZS,Management Consulting ,3.5,41 years old,Salary & Benefits,"Work Life Balance, Work Satisfaction"
384,Whirlpool,Consumer Electronics & Appliances ,4.1,113 years old,"Work Life Balance, Company Culture, Job Security",
385,Bharat Petroleum,Oil & Gas ,4.2,72 years old,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
386,PhonePe,FinTech ,4.1,9 years old,"Salary & Benefits, Company Culture, Job Security",
387,Tata Elxsi,IT Services & Consulting ,4,35 years old,"Job Security, Work Life Balance, Company Culture",
388,Endurance Technologies,Auto Components ,3.9,39 years old,Skill Development / Learning,Promotions / Appraisal
389,Jindal Stainless,Iron & Steel ,4.3,54 years old,"Job Security, Skill Development / Learning, Work Life Balance",
390,NoBroker,Internet ,3.3,10 years old,"Work Satisfaction, Job Security, Promotions / Appraisal",
391,Force Motors,Automobile ,3.6,66 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
392,Fincare Small Finance Bank,Banking ,4.1,17 years old,"Job Security, Work Life Balance, Skill Development / Learning",
393,GVK Emergency Management and Research Institute,Non-Profit ,3.7,19 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
394,ITC Hotels,Hospitality ,4.2,49 years old,"Job Security, Skill Development / Learning, Company Culture",
395,Syngene International,Pharma ,4,31 years old,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
396,Shahi Exports,Retail ,4.1,50 years old,"Job Security, Skill Development / Learning, Company Culture",
